,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,topic
0,1.2830382345518975e-05,1.2830382345518975e-05,1.2830382345522482e-05,1.2830382345519009e-05,1.2830382345520425e-05,1.2830382345518975e-05,1.2830382345518975e-05,1.2830382346025357e-05,1.2830382345518975e-05,0.011381303258191377,1.2830382345537607e-05,1.2830382345526285e-05,1.2830382345518975e-05,1.2830382345528343e-05,1.2830382345518975e-05,1.2830382345518975e-05,1.2830382345518975e-05,1.2830382345520464e-05,1.2830382345525221e-05,0.03478485917133311,0.9480782666914458,1.2830382345518975e-05,1.2830382345518975e-05,0.0033593784790341497,1.2830382345522414e-05,1.2830382345537457e-05,1.2830382345518975e-05,0.002075432841357207,1.2830382345524627e-05,1.2830382345518975e-05,computer
1,1.6477179107097414e-05,1.6477179107097414e-05,1.6477179107113443e-05,1.6477179107097414e-05,1.647717910709874e-05,1.6477179107097414e-05,1.6477179107097414e-05,1.647717910710111e-05,1.6477179107097414e-05,0.08013527329245955,0.022245254101701216,0.021280789889292058,1.6477179107097414e-05,0.0031771939615143374,1.6477179107097414e-05,1.6477179107097414e-05,1.6477179107097414e-05,1.647717910710144e-05,0.005627041759626371,0.016685601566740413,0.7670906110177955,1.6477179107097414e-05,1.6477179107097414e-05,0.043442437452633605,0.0012357617463728203,0.03875049162972222,1.6477179107097414e-05,1.6477179107108222e-05,1.647717910710022e-05,1.6477179107097414e-05,theatre
2,8.333333333416263e-06,8.333333333416263e-06,8.333333333418327e-06,8.333333333416263e-06,8.333333333416368e-06,8.333333333416263e-06,8.333333333416263e-06,8.333333333416489e-06,8.333333333416263e-06,0.01181572824784346,0.00035479340002668366,0.008542863607711176,8.333333333416263e-06,0.0027036157957516706,8.333333333416263e-06,8.333333333416263e-06,8.333333333416263e-06,8.333333333416792e-06,0.0010189265222414511,0.003859932621959525,0.8800629694551908,8.333333333423663e-06,8.333333333416263e-06,0.07427152539081541,0.0012079960863717318,0.015994982205419783,8.333333333416263e-06,8.333333333419868e-06,8.333333333416394e-06,8.333333333416263e-06,religion
3,1.9972039145403578e-05,1.9972039145540655e-05,1.997203914540627e-05,1.9972039145403578e-05,1.9972039145403615e-05,1.9972039145403578e-05,1.9972039145403578e-05,1.9972039145403578e-05,1.9972039145403578e-05,0.02519511902256498,1.9972039145410994e-05,1.9972039145478845e-05,1.9972039145403578e-05,1.997203914546489e-05,1.9972039145403578e-05,1.9972039145403578e-05,1.9972039145403578e-05,1.9972039145403578e-05,1.9972039145428043e-05,0.0017577787378475621,0.5037135887172445,1.9972039145403578e-05,1.9972039145403578e-05,0.468814240504562,1.99720391454492e-05,1.997203914542817e-05,1.9972039145403578e-05,1.9972039145405743e-05,1.997203914545539e-05,1.9972039145403578e-05,fraternities
4,1.3170025023188793e-05,1.3170025023193378e-05,1.3170025023196232e-05,1.3170025023188793e-05,1.3170025023188824e-05,1.3170025023188793e-05,1.3170025023188793e-05,1.3170025023191031e-05,1.3170025023188793e-05,0.023594203998185834,1.317002502319451e-05,1.3170025023204999e-05,1.3170025023188793e-05,1.317002502319667e-05,1.3170025023188793e-05,1.3170025023188793e-05,1.3170025023188793e-05,1.3170025023191799e-05,0.00314569314376479,0.020495649059191053,0.9192653252970044,1.3170025023227413e-05,1.3170025023188793e-05,0.02229104286484094,1.3170025023200711e-05,0.010892005036456518,1.3170025023188793e-05,1.3170025023204738e-05,1.3170025023196656e-05,1.3170025023188793e-05,computer
5,6.592827004268659e-06,6.592827004283463e-06,6.592827004278731e-06,6.592827004268659e-06,6.592827004268859e-06,6.592827004268659e-06,6.592827004268659e-06,6.592827004268659e-06,6.592827004268659e-06,0.44141905229982764,0.010813492172109569,6.592827004287022e-06,6.592827004268659e-06,6.592827004281166e-06,6.592827004268659e-06,6.592827004268659e-06,6.592827004268659e-06,6.592827004268909e-06,6.592827004280857e-06,0.0022474430252023628,0.485651162308641,6.592827004275988e-06,6.592827004268659e-06,0.046739339129880514,6.592827004273229e-06,0.012971283216236062,6.592827004268659e-06,6.5928270042687855e-06,6.592827004268943e-06,6.592827004268659e-06,football
6,1.2621481762086102e-05,1.2621481762086102e-05,1.2621481762093312e-05,1.2621481762086102e-05,0.0004118192222992653,1.2621481762086102e-05,1.2621481762086102e-05,0.0008554621221514439,1.2621481762086102e-05,0.013405658676174605,1.262148176212362e-05,1.2621481762104524e-05,1.2621481762086102e-05,0.0004886338653829369,1.2621481762086102e-05,1.2621481762086102e-05,1.2621481762086102e-05,1.2621481762086494e-05,0.0007086410560460172,0.04555796554751375,0.931542431412332,1.2621481762086102e-05,1.2621481762086102e-05,0.004218150607928994,1.2621481762092115e-05,0.002546186373167331,1.2621481762086102e-05,1.2621481762086384e-05,1.2621481762089692e-05,1.2621481762086102e-05,computer
7,7.457121551157908e-06,7.457121551157908e-06,7.4571215511602934e-06,7.457121551157908e-06,7.4571215511584605e-06,7.457121551157908e-06,7.457121551157908e-06,0.015097632423668184,7.457121551157908e-06,0.016145099642387303,0.0014610839591931535,0.004045842536552858,7.457121551157908e-06,7.457121551161613e-06,7.457121551157908e-06,7.457121551157908e-06,7.457121551157908e-06,7.457121551157908e-06,7.457121551159415e-06,0.02765578980935574,0.9130475748107081,7.457121551157908e-06,7.457121551157908e-06,0.02237546302245766,7.457121551169901e-06,7.45712155117055e-06,7.457121551157908e-06,7.457121551158395e-06,7.457121551162685e-06,7.457121551157908e-06,neuroscience
8,8.948545861401122e-06,8.948545861437805e-06,8.948545861408173e-06,8.948545861401122e-06,8.948545861403133e-06,8.948545861401122e-06,8.948545861401122e-06,8.948545861401425e-06,8.948545861401122e-06,0.030531612136493805,8.948545861415576e-06,0.0011237153963896682,8.948545861401122e-06,0.006544530881140254,8.948545861401122e-06,8.948545861401122e-06,8.948545861401122e-06,8.948545861401491e-06,0.0008733924016325719,0.0073473310413663066,0.7558612156316673,8.94854586140554e-06,8.948545861401122e-06,0.1922520706652044,8.94854586141636e-06,0.005269263837154849,8.948545861401122e-06,8.948545861401484e-06,8.948545861403577e-06,8.948545861401122e-06,religion
9,5.950255861046284e-06,5.950255861046284e-06,5.950255861047891e-06,5.950255861046284e-06,5.9502558610463195e-06,5.950255861046284e-06,5.950255861046284e-06,5.950255861046372e-06,5.950255861046284e-06,0.5832493041123634,0.0008774378692537011,0.004868737213408671,5.950255861046284e-06,0.0044714099532683635,5.950255861046284e-06,5.950255861046284e-06,5.950255861046284e-06,5.950255861047016e-06,5.950255861057697e-06,0.0019912865945382364,0.35519580266181344,5.950255861046495e-06,5.950255861046284e-06,0.04386238421021141,5.950255861053119e-06,0.005352731756199361,5.950255861046284e-06,5.950255861047265e-06,5.950255861051024e-06,5.950255861046284e-06,football
