,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,topic
0,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,0.008512845290759305,0.0007369849791145047,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,0.9892393637437049,0.0011601088689777621,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,8.553588230323138e-06,computer
1,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,0.002211032916107559,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,0.06415475824443347,0.012540365246991422,0.01939028269562354,1.0984786071397095e-05,0.0005052260979637752,1.0984786071397095e-05,1.0984786071397095e-05,0.03899717535939042,1.0984786071397095e-05,0.004360908243973084,1.0984786071397095e-05,0.011418998341819694,1.0984786071397095e-05,1.0984786071397095e-05,0.008552321381221173,0.0007545614557546899,0.001347905566491386,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,0.0018029236300166078,0.8307336602304459,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,0.002889352221554256,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,1.0984786071397095e-05,theatre
2,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,0.0311807850993733,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,0.0063330275132050615,5.555555555617331e-06,0.004802746394798137,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,0.027143851599348307,5.555555555617331e-06,0.0009910415407029707,5.555555555617331e-06,0.0011253085924954388,5.555555555617331e-06,5.555555555617331e-06,0.0038913990001050616,0.0017593892497527255,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,0.0026201924713424012,5.555555555617331e-06,5.555555555617331e-06,0.9196915022931529,0.00027186735683253495,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,5.555555555617331e-06,religion
3,1.3314692763587869e-05,0.0005010120280050988,1.3314692763587869e-05,0.002186261092187772,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,0.01096758802990487,1.3314692763587869e-05,0.0013277729515777958,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,0.002683535867229972,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,0.9792104936127944,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,0.002617378093284198,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,1.3314692763587869e-05,fraternities
4,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,0.014462107321685326,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,0.01241075464516185,8.780016682114702e-06,0.0016681479657152528,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,0.004683178485919269,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,0.9664246109142335,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,8.780016682114702e-06,computer
5,4.395218002846632e-06,0.0004091851102576705,0.0002088164981767247,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,0.39244078532377125,0.0032230153482969807,4.395218002846632e-06,4.395218002846632e-06,0.01424421279090672,4.395218002846632e-06,4.395218002846632e-06,0.012387250227598815,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,0.00038879306859709617,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,0.00041385146802637847,0.0007178644785800883,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,0.000787703293718259,4.395218002846632e-06,0.0002739677938022296,0.5725871780952874,0.0008275616006869553,4.395218002846632e-06,4.395218002846632e-06,0.0006343835861248682,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,4.395218002846632e-06,0.00032357477608331234,4.395218002846632e-06,4.395218002846632e-06,football
6,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,0.009376023163782159,0.0012130638464784987,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,0.0035780677576250624,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,0.008715167745676697,8.414321174711907e-06,8.414321174711907e-06,0.002857582833562386,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,0.9718128817960694,0.0012412357924290322,8.414321174711907e-06,8.414321174711907e-06,0.000461792127482539,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,0.0004412693746044789,8.414321174711907e-06,8.414321174711907e-06,8.414321174711907e-06,computer
7,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,0.012591402543564233,4.971414367438852e-06,0.0018249614245182512,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,0.00032644375209457254,4.971414367438852e-06,4.971414367438852e-06,0.005035829842563748,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,0.963220616609196,0.015941971016662806,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,0.0008698610654379876,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,4.971414367438852e-06,neuroscience
8,5.9656972409340135e-06,0.0007940830857648376,5.9656972409340135e-06,0.010612476070287891,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,0.02178859483293431,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,0.016918354254901576,5.9656972409340135e-06,0.0004226446736795271,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,0.05181221138838824,0.0027331751027684773,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,0.0014819234083560263,5.9656972409340135e-06,5.9656972409340135e-06,0.8894674713287359,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,0.0013809296882662902,5.9656972409340135e-06,0.0023853024597249466,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,5.9656972409340135e-06,religion
9,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,0.00019352948613230914,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,0.5471011204951296,3.966837240697033e-06,0.005492489576331071,3.966837240697033e-06,0.002306108021436081,3.966837240697033e-06,3.966837240697033e-06,0.009665749993071723,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,0.0019742447721759968,0.0014150340010869139,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,0.0004056167425863039,3.966837240697033e-06,3.966837240697033e-06,0.430801385232659,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,0.000252871291298756,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,3.966837240697033e-06,0.00025697792190854243,3.966837240697033e-06,3.966837240697033e-06,football
